UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-C__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-C_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-C_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-C_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-C_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-C_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-C_(@_3_)_eV_(All_Qs)
2008-08-12T20:51:30.308Z,0.21853454,6.1776337,-4.3118906,4.2661326,2483.2938,2551.6548,1789.5779
2008-08-12T20:51:33.319Z,0.21853454,-2.9384562,-9.3162375,2.6814093,2585.4523,2627.4564,1824.6432
2008-08-12T20:51:36.329Z,0.24767247,-5.8275842,10.140966,-8.292836099999999,2093.1287,2187.3767,1566.3294
2008-08-12T20:51:39.339Z,0.1893966,-21.938188,11.541493,-11.409996,2772.2672,2787.1386,1957.8746
2008-08-12T20:51:42.349Z,0.24767247,-10.276634,-16.517787,-11.407325,2214.0726,2143.7557,1525.4206
2008-08-12T20:51:45.360Z,0.21853454,-18.399761,-20.962364,-3.2487487,2503.0824,2506.865,1632.2209
2008-08-12T20:51:48.370Z,0.21853451,-1.2913941,-19.622464,2.5257821,2487.5241,2535.849,1803.2203
2008-08-12T20:51:51.380Z,0.21853451,-11.426543,-24.238785,-17.417569,2471.3948,2458.4398,1831.4904
2008-08-12T20:51:54.391Z,0.21853451,-3.881031200000001,-17.967941,-0.78376321,2563.7108,2319.8165,1839.9736
2008-08-12T20:51:57.401Z,0.21853451,-5.8684377,-18.584147,6.2021178,2303.301,2248.5988,1665.2379
2008-08-12T20:52:00.411Z,0.18939657,-4.0623097,-8.8063763,-3.1903866,2811.2698,3001.025,1946.3738
2008-08-12T20:52:03.421Z,0.18939657,-11.919341,2.2369458,-1.1508428,2797.3474,2844.047,2023.3041
2008-08-12T20:52:06.432Z,0.21853451,-16.927391,-2.9051883,-4.094689700000001,2277.1596,2349.9845,1663.3745
2008-08-12T20:52:09.442Z,0.21853451,-7.9979352,2.3996596,-1.7836887,2450.7638,2511.6673,1651.1669
2008-08-12T20:52:12.452Z,0.24767244,4.9999843,-1.3151031,2.9738145,2117.8716,2150.2364,1551.7501
2008-08-12T20:52:15.463Z,0.27681035,14.701588,27.010272,-6.86429,1936.5142,2063.4461,1285.457
2008-08-12T20:52:18.473Z,0.21853448,-10.946707,12.797827,-8.395443400000001,2354.9099,2528.4671,1757.2864
2008-08-12T20:52:21.483Z,0.21853448,-2.0028807,0.86324156,-7.1076227,2372.9518,2250.837,1620.9066
2008-08-12T20:52:24.493Z,0.21853448,3.3378269,3.2466638,1.1803205,2349.9825,2355.2314,1607.3049
2008-08-12T20:52:27.504Z,0.24767241,5.228544599999999,2.6658404,-10.563908,2081.5016,2103.0324,1458.743
2008-08-12T20:52:30.514Z,0.21853448,4.601664299999999,8.599542199999998,4.3517686,2340.0709,2543.8828,1697.0235
2008-08-12T20:52:33.524Z,0.21853448,0.24724959,5.6404356,-3.7532872,2410.1216,2384.3028,1684.2896
2008-08-12T20:52:36.535Z,0.24767241,-1.0777194,11.442709,-22.857297,2234.6011,2302.7415,1484.1656
2008-08-12T20:52:39.545Z,0.21853446,16.46298,3.2035906,4.5774599,2534.7899,2360.7372,1631.8267
2008-08-12T20:52:42.555Z,0.21853446,8.7740089,11.540866,-1.6452275,2396.2052,2510.411,1644.1636
2008-08-12T20:52:45.565Z,0.21853446,0.32607668,-13.652784,7.7499286,2395.4885,2469.3137,1700.9892
2008-08-12T20:52:48.576Z,0.24767238,-0.15679332,10.807686,4.272088099999999,2011.1517,2027.8015,1478.7308
2008-08-12T20:52:51.586Z,0.21853446,5.7196581,9.0416966,-5.4497332,2261.9338,2269.7739,1672.3269
2008-08-12T20:52:54.596Z,0.24767238,2.9748435,6.985282400000001,-0.21629492,2266.4644,2172.1787,1507.5642
2008-08-12T20:52:57.607Z,0.21853446,-9.1197532,-12.521814,20.875332,2460.1136,2466.4951,1685.5816
2008-08-12T20:53:00.617Z,0.27681031,-3.967011,7.346965700000001,-5.9499688,1890.8409,1942.4027,1358.1939
