UT__yyyy-mm-ddThh:mm:ss.sssZ,FGS-D_B_TOTAL__nT_(All_Qs),BX_FGS-D_(@_1_)_nT_GSM,BY_FGS-D_(@_2_)_nT_GSM,BZ_FGS-D_(@_3_)_nT_GSM
2008-08-12T20:55:26.306Z,45.6791,11.3759,2.15974,44.1872
2008-08-12T20:55:29.316Z,45.5863,11.4422,2.05818,44.0789
2008-08-12T20:55:32.327Z,45.5811,11.3570,2.01214,44.0977
2008-08-12T20:55:35.337Z,45.6028,11.4911,1.97423,44.0871
2008-08-12T20:55:38.347Z,45.5486,11.2593,2.17529,44.0814
2008-08-12T20:55:41.358Z,45.5211,11.3152,2.08477,44.0430
2008-08-12T20:55:44.368Z,45.5918,11.3899,2.14026,44.0942
2008-08-12T20:55:47.378Z,45.6190,11.4370,2.05894,44.1140
2008-08-12T20:55:50.388Z,45.5441,11.2424,1.82717,44.0969
2008-08-12T20:55:53.399Z,45.4074,11.2128,1.88854,43.9607
2008-08-12T20:55:56.409Z,45.4234,11.1933,2.10508,43.9723
2008-08-12T20:55:59.419Z,45.5053,11.3346,1.86270,44.0317
2008-08-12T20:56:02.430Z,45.5429,11.3117,2.08292,44.0666
2008-08-12T20:56:05.440Z,45.5810,11.4946,1.96264,44.0642
2008-08-12T20:56:08.450Z,45.4778,11.2875,1.94086,44.0120
2008-08-12T20:56:11.460Z,45.5374,11.5016,1.95372,44.0177
2008-08-12T20:56:14.471Z,45.5047,11.4385,2.24713,43.9862
2008-08-12T20:56:17.481Z,45.5495,11.8097,2.00185,43.9464
2008-08-12T20:56:20.491Z,45.4885,11.6302,2.11688,43.9256
2008-08-12T20:56:23.502Z,45.4394,11.5174,1.93405,43.9130
2008-08-12T20:56:26.512Z,45.3847,11.3885,1.96488,43.8886
2008-08-12T20:56:29.522Z,45.3039,11.5907,1.82441,43.7581
2008-08-12T20:56:32.532Z,45.3579,11.6166,1.96226,43.8012
2008-08-12T20:56:35.543Z,45.4136,11.7108,1.80040,43.8407
2008-08-12T20:56:38.553Z,45.4515,11.6185,1.76171,43.9061
2008-08-12T20:56:41.563Z,45.4297,11.6221,1.75727,43.8828
2008-08-12T20:56:44.574Z,45.3738,11.5625,2.04702,43.8281
2008-08-12T20:56:47.584Z,45.4692,11.8396,1.76567,43.8652
2008-08-12T20:56:50.594Z,45.3499,11.8589,1.74471,43.7371
2008-08-12T20:56:53.604Z,45.3000,11.8846,2.07973,43.6637
2008-08-12T20:56:56.615Z,45.4367,11.8449,1.75783,43.8304
2008-08-12T20:56:59.625Z,45.4567,11.7731,2.06043,43.8572
2008-08-12T20:57:02.635Z,45.4784,11.7349,1.93386,43.8957
2008-08-12T20:57:05.646Z,45.4675,11.7713,2.06071,43.8690
2008-08-12T20:57:08.656Z,45.4692,11.8396,1.76022,43.8654
2008-08-12T20:57:11.666Z,45.3543,11.8758,2.08424,43.7222
2008-08-12T20:57:14.676Z,45.4433,11.8955,1.66897,43.8270
2008-08-12T20:57:17.687Z,45.4325,11.8972,1.66636,43.8154
2008-08-12T20:57:20.697Z,45.4096,11.8838,1.31696,43.8072
2008-08-12T20:57:23.707Z,45.3698,11.8384,1.39489,43.7759
2008-08-12T20:57:26.718Z,45.3522,11.7727,1.13153,43.7829
2008-08-12T20:57:29.728Z,45.2831,11.6802,1.29001,43.7318
2008-08-12T20:57:32.738Z,45.2820,11.6979,1.07374,43.7318
2008-08-12T20:57:35.748Z,45.2362,11.7396,1.19510,43.6700
2008-08-12T20:57:38.759Z,45.1638,11.5450,0.963373,43.6527
2008-08-12T20:57:41.769Z,44.9895,11.4177,1.18959,43.5003
2008-08-12T20:57:44.779Z,44.9968,11.4683,1.10461,43.4968
2008-08-12T20:57:47.790Z,44.7839,11.2957,1.40955,43.3130
2008-08-12T20:57:50.800Z,44.8809,11.4352,1.16899,43.3839
2008-08-12T20:57:53.810Z,44.7730,11.2974,1.40620,43.3014
2008-08-12T20:57:56.820Z,44.8255,11.3064,1.19909,43.3596
2008-08-12T20:57:59.831Z,44.7714,11.3321,1.53414,43.2863
2008-08-12T20:58:02.841Z,44.7512,11.3009,1.40026,43.2782
2008-08-12T20:58:05.851Z,44.6608,11.2466,1.68456,43.1887
2008-08-12T20:58:08.862Z,44.6920,11.2244,1.34433,43.2387
2008-08-12T20:58:11.872Z,44.6185,11.2190,1.54627,43.1573
2008-08-12T20:58:14.882Z,44.6880,11.2768,1.25678,43.2235
2008-08-12T20:58:17.892Z,44.6126,11.3060,1.58819,43.1270
2008-08-12T20:58:20.903Z,44.6576,11.2643,1.46527,43.1887
2008-08-12T20:58:23.913Z,44.6499,11.2484,1.67819,43.1772
2008-08-12T20:58:26.923Z,44.6681,11.1250,1.50637,43.2343
2008-08-12T20:58:29.934Z,44.6222,11.0637,1.79800,43.1915
2008-08-12T20:58:32.944Z,44.6776,11.1579,1.63614,43.2309
2008-08-12T20:58:35.954Z,44.6490,11.1454,1.84541,43.1962
2008-08-12T20:58:38.964Z,44.6935,11.1038,1.72250,43.2579
2008-08-12T20:58:41.975Z,44.5452,11.1106,1.91166,43.0950
2008-08-12T20:58:44.985Z,44.4862,11.1371,1.68627,43.0366
2008-08-12T20:58:47.995Z,44.4523,11.2116,1.93899,42.9715
2008-08-12T20:58:51.006Z,44.5038,11.4957,1.65034,42.9618
2008-08-12T20:58:54.016Z,44.4380,11.5409,1.76810,42.8768
2008-08-12T20:58:57.026Z,44.3627,11.5185,1.62510,42.8104
2008-08-12T20:59:00.036Z,44.4048,11.4945,1.28670,42.8719
2008-08-12T20:59:03.047Z,44.3505,11.5033,1.27682,42.8137
2008-08-12T20:59:06.057Z,44.2279,11.4196,1.42622,42.7044
2008-08-12T20:59:09.067Z,44.2387,11.5732,1.17104,42.6820
2008-08-12T20:59:12.078Z,44.1565,11.5517,1.58671,42.5892
2008-08-12T20:59:15.088Z,44.1657,11.7399,1.46100,42.5517
2008-08-12T20:59:18.098Z,44.1045,11.6981,1.53534,42.4971
2008-08-12T20:59:21.108Z,44.3120,11.9923,1.40171,42.6353
2008-08-12T20:59:24.119Z,44.4333,12.1453,1.50976,42.7145
2008-08-12T20:59:27.129Z,44.4450,12.3335,1.38405,42.6770
2008-08-12T20:59:30.139Z,44.4603,12.4693,1.34438,42.6547
2008-08-12T20:59:33.150Z,44.4556,12.5740,1.17158,42.6242
2008-08-12T20:59:36.160Z,44.3744,12.4833,1.32832,42.5616
2008-08-12T20:59:39.170Z,44.2275,12.4209,1.25861,42.4288
2008-08-12T20:59:42.180Z,44.2293,12.4032,1.47338,42.4291
2008-08-12T20:59:45.191Z,44.2013,12.2868,1.29425,42.4395
2008-08-12T20:59:48.201Z,44.1850,12.1686,1.11696,42.4616
2008-08-12T20:59:51.211Z,44.1487,12.2609,1.15421,42.3964
2008-08-12T20:59:54.221Z,44.1287,12.2467,1.36533,42.3733
2008-08-12T20:59:57.232Z,44.1683,12.5690,1.20252,42.3251
2008-08-12T21:00:00.242Z,44.1308,12.4366,1.23709,42.3241
2008-08-12T21:00:03.252Z,44.1105,12.4232,0.887735,42.3157
2008-08-12T21:00:06.263Z,44.0385,12.1239,0.828105,42.3287
2008-08-12T21:00:09.273Z,44.0600,12.1204,0.831017,42.3520
2008-08-12T21:00:12.283Z,44.0521,11.8452,0.911797,42.4199
2008-08-12T21:00:15.293Z,44.0408,11.6747,0.820517,42.4572
2008-08-12T21:00:18.304Z,44.0921,11.5284,0.869633,42.5494
2008-08-12T21:00:21.314Z,44.1601,11.4832,0.750343,42.6344
2008-08-12T21:00:24.324Z,44.2098,11.0617,0.880962,42.7945
2008-08-12T21:00:27.335Z,44.2146,10.9321,0.814135,42.8341
2008-08-12T21:00:30.345Z,44.2547,10.8222,0.990902,42.8997
2008-08-12T21:00:33.355Z,44.3272,10.8623,0.916876,42.9659
2008-08-12T21:00:36.365Z,44.3928,10.7319,0.752308,43.0695
2008-08-12T21:00:39.376Z,44.4635,10.9868,0.789652,43.0775
2008-08-12T21:00:42.386Z,44.5659,10.6612,0.757289,43.2653
2008-08-12T21:00:45.396Z,44.5872,10.7953,0.719446,43.2546
2008-08-12T21:00:48.407Z,44.6052,10.8265,0.851814,43.2630
2008-08-12T21:00:51.417Z,44.6342,10.8736,0.770511,43.2826
2008-08-12T21:00:54.427Z,44.5691,10.7465,0.799604,43.2467
2008-08-12T21:00:57.437Z,44.6236,10.7377,0.807952,43.3049
2008-08-12T21:01:00.448Z,44.6872,10.8045,0.970242,43.3506
2008-08-12T21:01:03.458Z,44.6760,10.9438,0.926939,43.3050
2008-08-12T21:01:06.468Z,44.7577,10.9395,0.832080,43.3922
2008-08-12T21:01:09.479Z,44.8101,10.8874,1.37826,43.4454
2008-08-12T21:01:12.489Z,44.8827,10.7899,1.34497,43.5457
2008-08-12T21:01:15.499Z,44.8091,10.6815,1.71723,43.4834
2008-08-12T21:01:18.509Z,44.8764,10.6363,1.59790,43.5684
2008-08-12T21:01:21.520Z,44.8401,10.5653,1.99826,43.5318
2008-08-12T21:01:24.530Z,44.9430,10.6348,2.05914,43.6180
