EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_DENSITY_#/cc,SW_H_SPEED_km/s,H_TEMP_RADIAL_Kelvin,VX_(GSM)_km/s,VY_(GSM)_km/s,VZ_(GSM)_km/s
2008-08-12T23:51:53.000Z,2.00170,529.110,84788.3,-527.108,-15.0720,-44.4700
2008-08-12T23:52:57.000Z,1.91480,519.740,90558.2,-518.495,-6.70300,-36.3400
2008-08-12T23:54:01.000Z,1.76460,519.460,88519.1,-517.132,-8.26800,-49.4220
2008-08-12T23:55:05.000Z,1.87070,516.830,78357.3,-515.357,-8.82400,-39.0930
2008-08-12T23:56:09.000Z,1.79490,516.710,88851.0,-514.159,-14.5760,-50.2170
2008-08-12T23:57:13.000Z,1.84710,519.320,83164.2,-516.653,-13.9730,-51.7540
2008-08-12T23:58:17.000Z,2.10880,518.160,89846.6,-516.233,-10.0880,-44.5970
2008-08-12T23:59:21.000Z,1.82600,-1.00000e+31,71715.4,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-13T00:00:25.000Z,1.85230,519.660,80627.1,-518.013,-4.67000,-42.1700
2008-08-13T00:01:29.000Z,1.81160,523.340,79883.4,-520.877,-10.2780,-50.7930
2008-08-13T00:02:33.000Z,1.92290,523.530,79955.7,-521.711,-3.65900,-44.5930
2008-08-13T00:03:37.000Z,1.89420,525.210,84394.3,-522.845,-13.7300,-49.0660
2008-08-13T00:04:41.000Z,1.91870,529.520,88463.8,-527.276,-11.3650,-48.5650
2008-08-13T00:05:45.000Z,2.14800,526.720,99599.0,-523.470,-17.5970,-56.9530
2008-08-13T00:06:49.000Z,2.13590,527.020,86585.3,-524.045,-20.3750,-53.3510
2008-08-13T00:07:53.000Z,1.98280,527.980,82820.6,-526.047,-16.0610,-43.3700
2008-08-13T00:08:57.000Z,2.08560,529.290,79304.9,-526.678,-18.4420,-50.4630
2008-08-13T00:10:01.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-13T00:11:05.000Z,2.05480,522.700,54458.1,-519.326,-24.1740,-55.4760
2008-08-13T00:12:09.000Z,1.99460,521.820,50931.8,-517.870,-25.3870,-60.1260
2008-08-13T00:13:13.000Z,2.19880,516.270,56042.0,-511.466,-28.2060,-65.6680
2008-08-13T00:14:17.000Z,1.92810,509.410,61917.2,-505.307,-15.5180,-63.9370
2008-08-13T00:15:21.000Z,2.23530,511.840,65454.2,-508.596,-19.2870,-55.5220
2008-08-13T00:16:25.000Z,2.10280,530.660,47480.6,-526.393,-31.0870,-60.9020
2008-08-13T00:17:29.000Z,2.05090,537.890,55706.5,-534.991,-24.6290,-51.4410
2008-08-13T00:18:33.000Z,2.07340,540.970,52255.4,-537.110,-27.9400,-59.5160
2008-08-13T00:19:37.000Z,2.14650,541.230,55821.5,-538.154,-26.7880,-52.4300
2008-08-13T00:20:41.000Z,2.17510,535.550,51410.0,-531.031,-30.0860,-63.9490
2008-08-13T00:21:45.000Z,2.21760,530.170,57066.0,-525.832,-31.1770,-61.5220
2008-08-13T00:22:49.000Z,2.06390,530.840,49644.5,-527.484,-26.0150,-55.1120
2008-08-13T00:23:53.000Z,2.30420,539.820,58424.9,-536.099,-29.9620,-57.2340
2008-08-13T00:24:57.000Z,2.08900,526.730,53333.0,-524.071,-22.7230,-49.1920
2008-08-13T00:26:01.000Z,2.00830,519.500,51832.4,-515.772,-24.8020,-58.4690
2008-08-13T00:27:05.000Z,2.04590,516.600,50713.1,-513.762,-25.4510,-49.2060
2008-08-13T00:28:09.000Z,2.12270,519.570,53461.0,-515.959,-27.8840,-55.9490
2008-08-13T00:29:13.000Z,2.01950,522.980,52428.7,-518.691,-28.0140,-62.2040
2008-08-13T00:30:17.000Z,2.38660,520.720,48408.2,-516.741,-29.2150,-58.7900
2008-08-13T00:31:21.000Z,2.05340,529.900,57137.1,-525.719,-21.3250,-64.4590
2008-08-13T00:32:25.000Z,2.05220,511.040,51934.5,-509.179,-23.9960,-37.9980
2008-08-13T00:33:29.000Z,2.13170,511.210,62406.9,-508.786,-27.7310,-42.8410
2008-08-13T00:34:33.000Z,2.25080,514.910,64210.0,-512.926,-18.4140,-42.7960
2008-08-13T00:35:37.000Z,2.07200,514.700,60480.8,-510.225,-24.0750,-64.9300
2008-08-13T00:36:41.000Z,2.15550,519.620,64393.9,-515.807,-22.8340,-60.1930
2008-08-13T00:37:45.000Z,2.49770,518.190,67610.4,-514.851,-19.0730,-57.1480
2008-08-13T00:38:49.000Z,2.21380,517.570,65866.0,-514.049,-19.5590,-58.6920
2008-08-13T00:39:53.000Z,2.20690,519.100,67275.6,-516.737,-16.3170,-48.3860
2008-08-13T00:40:57.000Z,2.05330,522.950,64609.6,-519.835,-18.6230,-55.5020
2008-08-13T00:42:01.000Z,2.11500,517.510,64986.0,-515.282,-18.9500,-45.8170
2008-08-13T00:43:05.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-13T00:44:09.000Z,2.29550,516.480,81598.0,-514.495,-16.2060,-44.0040
2008-08-13T00:45:13.000Z,1.96140,519.220,65338.0,-516.174,-20.2750,-54.1220
2008-08-13T00:46:17.000Z,2.21150,522.560,65845.4,-518.475,-19.9840,-63.7710
2008-08-13T00:47:21.000Z,2.13540,523.740,59641.6,-520.997,-19.8100,-51.4490
2008-08-13T00:48:25.000Z,2.17260,521.840,64562.7,-517.770,-24.8690,-61.9120
2008-08-13T00:49:29.000Z,2.29560,523.890,62160.7,-521.181,-16.3430,-52.4410
2008-08-13T00:50:33.000Z,2.09250,524.060,54662.0,-520.358,-29.1350,-56.7800
2008-08-13T00:51:37.000Z,2.11810,524.000,49205.0,-519.986,-27.1170,-60.5830
2008-08-13T00:52:41.000Z,2.19620,523.270,62173.5,-518.672,-27.5280,-65.3720
2008-08-13T00:53:45.000Z,2.26080,526.440,58137.5,-522.156,-26.3190,-63.5050
2008-08-13T00:54:49.000Z,2.13650,527.700,61109.2,-524.230,-18.0140,-59.5570
2008-08-13T00:55:53.000Z,2.45280,521.910,60539.5,-518.083,-28.3370,-58.2880
